"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 13, 2019","821.00","818.65","827.85","818.30","2.36M","0.56%"
"Sep 12, 2019","816.40","816.40","819.85","810.85","4.40M","-0.45%"
"Sep 11, 2019","820.10","822.30","828.55","814.15","7.98M","-1.09%"
"Sep 09, 2019","829.10","836.80","840.30","827.55","4.38M","-1.32%"
"Sep 06, 2019","840.15","843.30","847.00","835.05","6.11M","0.73%"
"Sep 05, 2019","834.05","830.10","837.50","826.65","7.93M","1.55%"
"Sep 04, 2019","821.30","810.75","822.45","810.25","6.20M","0.87%"
"Sep 03, 2019","814.25","815.00","822.40","812.05","5.65M","-0.08%"
"Aug 30, 2019","814.90","810.00","817.35","802.00","8.17M","0.99%"
"Aug 29, 2019","806.95","795.50","809.70","795.50","7.83M","0.55%"
"Aug 28, 2019","802.50","787.40","805.00","786.30","5.88M","2.27%"
"Aug 27, 2019","784.65","791.00","794.95","781.10","16.06M","-2.23%"
"Aug 26, 2019","802.55","795.90","806.80","786.90","5.41M","0.04%"
"Aug 23, 2019","802.20","796.45","809.95","795.80","6.90M","0.82%"
"Aug 22, 2019","795.70","799.90","801.30","792.35","5.22M","-0.47%"
"Aug 21, 2019","799.45","793.00","803.75","793.00","5.93M","0.85%"
"Aug 20, 2019","792.75","785.20","798.00","783.85","8.44M","1.94%"
"Aug 19, 2019","777.65","775.60","783.00","773.35","3.88M","0.40%"
"Aug 16, 2019","774.55","780.00","780.05","762.50","5.13M","-0.03%"
"Aug 14, 2019","774.80","775.10","778.25","768.00","5.94M","1.31%"
"Aug 13, 2019","764.75","784.15","786.00","760.15","7.52M","-3.18%"
"Aug 09, 2019","789.85","792.00","796.75","784.80","4.36M","0.14%"
"Aug 08, 2019","788.75","782.70","792.75","781.25","8.01M","1.63%"
"Aug 07, 2019","776.10","778.90","783.45","772.35","5.13M","0.21%"
"Aug 06, 2019","774.45","778.80","783.70","769.80","9.33M","-0.29%"
"Aug 05, 2019","776.70","772.60","785.90","768.65","9.98M","0.14%"
"Aug 02, 2019","775.60","765.05","779.90","762.25","10.84M","0.88%"
"Aug 01, 2019","768.85","786.45","788.40","764.40","10.07M","-3.12%"
"Jul 31, 2019","793.65","790.85","799.80","781.60","7.35M","0.12%"
"Jul 30, 2019","792.70","791.90","797.80","788.55","8.67M","0.16%"
"Jul 29, 2019","791.45","789.50","796.95","786.20","6.24M","0.57%"
