Day,Open,High,Low,Last,Close,Trade Quantity,Turnover (Lacs)
1,1150.75,1150.75,1126.25,1140,1131.8,6279161,71342.53
2,1160,1161.3,1150.1,1152.1,1154,1901044,21946.57
3,1166.9,1166.9,1144,1155.6,1155.25,4465361,51493.17
4,1147,1173.8,1142.35,1165,1167.6,6004042,69922.54
5,1164.5,1177.45,1155.3,1156,1161.3,3406584,39774.31
6,1170,1175.5,1162.2,1166.2,1167.5,3846497,45062.71
7,1148.6,1170,1148.6,1164.55,1164.55,4276883,49600.77
8,1164,1180.5,1142.65,1148,1146.75,3763310,43539.38
9,1182,1182.4,1169.25,1170,1171.9,8977413,105301.77
10,1180,1188.4,1172,1181.9,1182.5,3050750,36025.7
11,1180,1190.6,1169.1,1181.1,1180.8,2214855,26141.12
12,1180.2,1197,1175.15,1182,1183.8,4290526,50936.53
13,1176,1191.85,1171.75,1184,1185.75,3838485,45534.56
14,1162.35,1166,1155.55,1164,1163.4,2110482,24531.39
15,1149,1165.8,1149,1158,1156.65,3046507,35297.22
16,1155,1160,1138.05,1147.8,1144.1,3185208,36575.95
17,1162.55,1165.4,1143.6,1146.25,1151.35,3344867,38720.55
18,1160.75,1170.8,1143.25,1159.7,1155.9,4050728,46935.12
19,1169.6,1169.6,1156.05,1160.25,1160.75,3289926,38223.36
20,1147.6,1189.5,1142.55,1147.7,1172.6,8634208,101200.35
21,1144.95,1153.65,1125.65,1147.7,1150.2,3308013,37681.02
22,1151,1155.05,1134.35,1139.95,1138.6,2541804,29047.93
23,1163.5,1166,1146.75,1154.4,1155.65,4729914,54776.35
24,1145.55,1164,1140.45,1159,1160.75,8929987,103339.95
25,1147.5,1151.9,1140,1145,1147.4,6885679,78977.38
