ID,Time,Record,Type,Levels
75624,2019/11/15,12:52,0,73
75625,2019/11/15,13:07,0,70
75626,2019/11/15,13:22,0,68
75627,2019/11/15,13:37,0,71
75628,2019/11/15,13:52,0,72
75629,2019/11/15,14:07,0,62
75630,2019/11/15,14:22,0,64
75631,2019/11/15,14:37,0,78
75632,2019/11/15,14:52,0,98
75633,2019/11/15,15:07,0,111
75634,2019/11/15,15:22,0,111
75635,2019/11/15,15:37,0,108
75636,2019/11/15,15:52,0,116
75637,2019/11/15,16:07,0,117
75638,2019/11/15,16:22,0,111
75639,2019/11/15,16:37,0,124
75640,2019/11/15,16:52,0,146
75641,2019/11/15,17:07,0,150
75642,2019/11/15,17:22,0,137
75643,2019/11/15,17:37,0,118
75644,2019/11/15,17:52,0,95
75645,2019/11/15,18:07,0,81
75646,2019/11/15,18:22,0,82
75647,2019/11/15,18:37,0,81
75648,2019/11/15,18:52,0,72
75649,2019/11/15,19:07,0,76
75650,2019/11/15,19:22,0,83
75651,2019/11/15,19:37,0,81
75652,2019/11/15,19:52,0,78
75653,2019/11/15,20:07,0,79
75654,2019/11/15,20:22,0,76
75655,2019/11/15,20:37,0,67
75656,2019/11/15,20:52,0,61
75657,2019/11/15,21:07,0,61
75658,2019/11/15,21:22,0,67
75659,2019/11/15,21:37,0,64
75660,2019/11/15,21:52,0,72
75661,2019/11/15,22:07,0,93
75662,2019/11/15,22:22,0,102
75663,2019/11/15,22:37,0,101
75664,2019/11/15,22:52,0,97
75665,2019/11/15,23:07,0,96
75666,2019/11/15,23:22,0,93
75667,2019/11/15,23:37,0,90
75668,2019/11/15,23:52,0,95
75669,2019/11/16,00:07,0,93
75670,2019/11/16,00:22,0,80
75671,2019/11/16,00:37,0,77
75672,2019/11/16,00:52,0,84
75673,2019/11/16,01:07,0,83
75674,2019/11/16,01:22,0,81
75675,2019/11/16,01:37,0,80
75676,2019/11/16,01:52,0,79
75677,2019/11/16,02:07,0,70
75678,2019/11/16,02:22,0,62
75679,2019/11/16,02:37,0,59
75680,2019/11/16,02:52,0,67
75681,2019/11/16,03:07,0,79
75682,2019/11/16,03:22,0,66
75683,2019/11/16,03:37,0,61
75684,2019/11/16,03:52,0,70
75685,2019/11/16,04:07,0,66
75686,2019/11/16,04:22,0,67
75687,2019/11/16,04:37,0,78
75688,2019/11/16,04:52,0,74
75689,2019/11/16,05:07,0,68
75690,2019/11/16,05:22,0,71
75691,2019/11/16,05:37,0,70
75692,2019/11/16,05:52,0,66
75693,2019/11/16,06:07,0,61
75694,2019/11/16,06:22,0,60
75695,2019/11/16,06:37,0,66
75696,2019/11/16,06:52,0,66
75697,2019/11/16,07:07,0,76
75698,2019/11/16,07:22,0,86
75699,2019/11/16,07:37,0,78
75700,2019/11/16,07:52,0,75
75701,2019/11/16,08:07,0,72
75702,2019/11/16,08:22,0,71
75703,2019/11/16,08:37,0,73
75704,2019/11/16,08:52,0,76
75705,2019/11/16,09:07,0,96
75706,2019/11/16,09:22,0,128
75707,2019/11/16,09:37,0,139
75708,2019/11/16,09:52,0,130
75709,2019/11/16,10:07,0,119
75710,2019/11/16,10:22,0,114
75711,2019/11/16,10:37,0,109
75712,2019/11/16,10:52,0,104
75713,2019/11/16,11:07,0,108
75714,2019/11/16,11:22,0,109
75715,2019/11/16,11:37,0,101
75716,2019/11/16,11:52,0,92
75717,2019/11/16,12:07,0,83
75718,2019/11/16,12:22,0,77
